g1_1,144,1
g1_2,56,8,248,9
g1_3,337,5,35,12
g1_4,169,4,324,13
g1_5,36,6,314,11
g1_6,227,3,219,14
g1_7,342,7,130,10
g1_8,141,2,201,15
g1_9,345,1,60,16
g1_10,236,8,231,9
g1_11,17,5,346,12
g1_12,214,4,115,13
g1_13,349,6
g1_14,22,3,106,14
g1_15,328,7,229,10
g1_16,13,2,311,15
g1_17,327,1,146,16
g1_18,212,8,156,9
g1_19,223,5,348,12
g1_20,158,4,42,13
g1_21,247,6
g1_22,232,3,8,14
g1_23,177,7,108,10
g1_24,331,2,23,15
g1_25,80,1
g1_26,266,8,293,9
g1_27,323,5,295,12
g1_28,104,4,87,13
g1_29,287,6,320,11
g1_30,132,3,5,14
g1_31,133,7,71,10
g1_32,109,2,215,15
